,A,B,C,D,E,F,G,H,I,J,À˘ Ù¿‡±
68,0.426825881,0.496096136,0.974640753,0.202288929,0.184460198,0.197299568,0.667308597,0.16857577,0.786846302,0.962837738,0
69,0.393830956,0.090994308,0.264402946,0.237763007,0.304949181,0.328965951,0.510950901,0.09120668,0.196627621,0.600293702,1
70,0.012616721,0.33087329,0.452230207,0.636239021,0.662780391,0.0806072,0.336812714,0.702508065,0.934684026,0.889136211,3
71,0.792601016,0.884903965,0.585679907,0.65640122,0.226527766,0.944424275,0.341801629,0.215994789,0.274480537,0.764787084,2
72,0.510573311,0.623185862,0,0.15456004,0.81805505,0.226886396,0.881769758,0.100826827,0.101369189,0.307625255,2
73,0,0.374765517,0.393204937,0.076969881,0.775134953,0.468367012,0.467479294,0.394422532,0.368178692,0.151295518,3
74,0.629037261,0.336132566,0.226717637,0.172108407,0.293630924,0.722324813,0.781496484,0.710811265,0,0,2
75,0.355762301,0.485422373,0.584794162,0.706297957,0.142792194,0.854866349,0.172196743,0.603400318,0.627584123,0.77436661,0
76,0.850745355,0.074254947,0.65803758,0.090394545,0.301259975,0.509052038,0.432058863,0.269949958,0.083634931,0.765306649,2
77,0.523478012,0,0,0.260676811,0.438171839,0.75435234,0.61680466,0.397120951,0.107371298,0.367466822,1
78,0.28521685,0.010242716,0.4047172,0.077622057,0.537152354,0.714197562,0.07663331,0.880822637,0.357619133,0.354743659,1
79,0.875444305,0.132970056,0.575751513,0.776264637,0.348927577,0.226033541,0.702963812,0.633866757,0.879487396,0.237587285,3
80,0.92270538,0.233224238,0.492443276,0.340576537,0.494511853,0.81523186,0.022188767,0.682456316,0.248945858,0.361676386,2
81,0.063161116,0.48651561,0.660355014,0.199378287,0.311405013,0.741290337,0.679616637,0.265322347,0,0.005844941,2
82,0.762265053,0.625254317,0.465036729,0.379610068,0.000250047,0,0.583986982,0,0.426319617,0.41026753,0
83,0.004140871,0.846451892,0,0,0.161689597,0.209093285,0.873508504,0.143360284,0.182579161,0.753434746,1
84,0.38783676,0.959783192,0.894141236,0.902137023,0.895193241,0.341765366,0.606420531,0.931979027,0.057026008,0.669028236,2
85,0.45351999,0.553925336,0.327441202,0.057703781,0.955410611,0.674913251,0.816822303,0.811205328,0.583536077,0.439484048,3
86,0.436830493,0.318543402,0.430986382,0.49538142,0.895802705,0.907027399,0.194217587,0.156970261,0.162580866,0.065857781,2
87,0.120773632,0.979111234,0.242479659,0.328443247,0.576788337,0.112076473,0.188372159,0.148936545,0.710155972,0.297807809,3
88,0.700735345,0.036672315,0.272044806,0.183964572,0.423255649,0,0.04678504,0.24308488,0.250830019,0.352428259,1
89,0.458405784,0.274997825,0.458155806,0.718672876,0.294888637,0.399531575,0.006990566,0.825757868,0.380473802,0.511959599,2
90,0.648641559,0.454679138,0.576051155,0.580637456,0.796340287,0.910451952,0.357663529,0.86327072,0.841299649,0.295581569,3
91,0.441068474,0,0.440182486,0.742077052,0.236049364,0.049407933,0.194270114,0.692442782,0.923340943,0.469362435,3
92,0.691476853,0.616813511,0.049060813,0.649149952,0.103858891,0.388985322,0.583531238,0.386145258,0.872547407,0.207257671,0
93,0.638222631,0.796332956,0.50258445,0.593894006,0.081284463,0.067805815,0.966899563,0.375802603,0.850228488,0.051004756,0
94,0.762211087,0.168397532,0.069840639,0.266037537,0.171591827,0.772890785,0.259668925,0.943452525,0.50882952,0.378287065,0
95,0.186091232,0.321024398,0.062740737,0.651852801,0.54627045,0.190715674,0.512976569,0.408199876,0.022023141,0.180518108,1
96,0.599779492,0.85211693,0.205572296,0.007097841,0.014191397,0.366487089,0.48034478,0.793817123,0.59875838,0.4820564,0
97,0.54897865,0.581103686,0.942304051,0.188144691,0.43393091,0.906343492,0.827542134,0.888208944,0.41838111,0.634684617,0
98,0.726994117,0.050121792,0.021399839,0.044743388,0.37679086,0.970568865,0.373159122,0.363069739,0.495346273,0.571940017,0
99,0.02905707,0.780384493,0.44360209,0.675978095,0.579936313,0.782223744,0.89143107,0.885264616,0.202083581,0.932894974,2
100,0.627401574,0.217198145,0.340952034,0.006312947,0.197163691,0.446778074,0.837535317,0.644265501,0.402404895,0.459207731,0
101,0.500381378,0.467825351,0.499923568,0.106813659,0.130802582,0.681545696,0.655195512,0.490622928,0.578045173,0.812122239,0
102,0.911274056,0.938307684,0.94837415,0.047241425,0.383633439,0.324977967,0.888111151,0.205554964,0.943674171,0.571275179,0
103,0.653260624,0.466244365,0.674777308,0.151236208,0.21250902,0.485756694,0.488984896,0.670470036,0.789037546,0.617887615,0
104,0.743424377,0.665320707,0.48682961,0.469730776,0.230238573,0,0.41870719,0.561236805,0.640838028,0.917725779,0
105,0.853483403,0.263747655,0.017075872,0.693492556,0.085418513,0.360661785,0.323931379,0.36163346,0.927607933,0.432481467,0
106,0.369029786,0.92141365,0.495086539,0.720050836,0.930061699,0.335275064,0.613747792,0.866809762,0.143733482,0.715966477,2
107,0.962873769,0.872450895,0.756851161,0.466083318,0.87005725,0.568177867,0.029322936,0.940098109,0.719508611,0.73864416,3
108,0.577509255,0.986887415,0.157450551,0.111225847,0.423695433,0.165157731,0.203080527,0.184094656,0.653687729,0.646062126,3
109,0.338373799,0.618745624,0.578034489,0.883937967,0.950261519,0.607343095,0.333164026,0,0.497396158,0.918008163,2
110,0.692828083,0.124845429,0.542669382,0.635328052,0.595360224,0.348222025,0.708647122,0.307763084,0.174015141,0.278443238,2
111,0.408119057,0.898152852,0.258928947,0.153424538,0.167521097,0.041145745,0.362178812,0.760481854,0.835189696,0.63837696,0
112,0.105854581,0.5508774,0.612381615,0.908093472,0.756050511,0.326735929,0.220227845,0.605414545,0.218351594,0.531375862,2
113,0.418156425,0.550378856,0.088757795,0.867189355,0.523989821,0.392833309,0.453903098,0.199568149,0.247101702,0.175699199,2
114,0.756226491,0.269521111,0.679255822,0.563592533,0,0,0,0,0.665892396,0.173317164,1
115,0.023123658,0.02528309,0.378870981,0,0.922198906,0.637786043,0.650057285,0.007052244,0.615447403,0.683357569,3
116,0.749555553,0,0.661854584,0.376480556,0.061835017,0.627707325,0.17897197,0.121307784,0.930795751,0.845203459,0
117,0.500120058,0.175586619,0.831910915,0.877243167,0.667761844,0.220235564,0.012055602,0.488241301,0.688477272,0.585839466,3
118,0.76472983,0.34365814,0.823773806,0.174610836,0.521634612,0.005519964,0.207093,0.018198943,0.685347524,0.708573261,3
119,0.620180865,0.271494984,0.418458796,0.107123035,0.344582375,0.083374931,0.140985662,0,0.783455789,0.420815679,1
120,0.192894844,0.658493789,0.056821394,0.257100286,0.629326198,0.525972121,0.73028703,0.196924874,0.086803392,0.476707367,2
121,0.238172727,0.863915553,0.676539148,0.210409586,0.16309258,0.939666402,0.871730582,0.469659136,0.199972787,0.725225305,0
122,0.875859989,0.412350296,0.905355039,0.91630849,0.742595556,0.584090547,0.304103806,0.669253332,0.558633409,0.551898376,2
123,0.169873536,0.317598056,0.596813102,0,0.141506427,0.048951169,0.692023766,0.051367607,0.436004409,0.550904232,1
124,0.731015361,0,0.315315113,0.001752688,0.875635368,0.423767048,0.482983975,0.168071674,0.83470679,0.674327026,3
125,0.871444203,0.433047749,0.693551117,0.486019333,0.798711648,0.488072553,0.085497679,0.258917719,0.346670709,0.205845904,2
126,0.192904311,0.338255387,0.497645166,0.894750277,0.646175951,0.649969553,0.227783171,0.778808707,0.795091983,0.059689,3
127,0.629458912,0.314034925,0,0.23021976,0,0.475019149,0.056480631,0.605270243,0.705294789,0.054838954,1
128,0.398775505,0.204180325,0.6871753,0.664405205,0.328438134,0,0.043584919,0.858129324,0.546830943,0.23856588,3
129,0.186091569,0.932631657,0.48577827,0.39584754,0.72460646,0.211365322,0.839238552,0.297633893,0.657989675,0.742861126,3
130,0.565089675,0.329825967,0.779507047,0.869742288,0.497926674,0.31899079,0.810370597,0.480502193,0.0020168,0.122780234,2
131,0.3848176,0.732937205,0.072063676,0.168783927,0.446678183,0.278910269,0.467064818,0.452226812,0,0.118649792,1
132,0.882324973,0.519916626,0.606726175,0.354430443,0.287812522,0.475416781,0.801411752,0.762576749,0,0.376197351,2
133,0.822932128,0.321774993,0.937178086,0.862806226,0.795335218,0.206320141,0.815150095,0.611663301,0.019974384,0,2
134,0.585871604,0.676552753,0.350027674,0.144430016,0.942629904,0.891180865,0.057197197,0.900778198,0.645910075,0.796843238,3
135,0.14912794,0.082037472,0.863067899,0.035671283,0.393075217,0.846170551,0.614348675,0.291280218,0.951539459,0.674890196,0
136,0.077666668,0.364703098,0.399712912,0.202951594,0.963578579,0.857731895,0.088023332,0.197028331,0.152641593,0.823693684,2
137,0.19120165,0.886323882,0.686234658,0.705984166,0,0.727046374,0.943325652,0.480165446,0.317037943,0.382837587,0
138,0.717264662,0.186681179,0.308964208,0.486868463,0.967123238,0.775464453,0.683988477,0.196456338,0.874155478,0.482621772,3
139,0.550599952,0.941184604,0.538877193,0.919896097,0.493989377,0.744063084,0.765014905,0.912996192,0.958119778,0.431179667,0
140,0.337379709,0.717958539,0,0.189587259,0.21698814,0.099905034,0,0.874278423,0.85979348,0.885544702,0
141,0.952175813,0.891251363,0.666066428,0.212452065,0.130945897,0.671803613,0.510593517,0.57968082,0.54441814,0.605353763,0
142,0.025346306,0.623180684,0.05118468,0.114334456,0.086957437,0.575520741,0.733148362,0.892397171,0.220964754,0.435280211,0
143,0.528658232,0.478999876,0.594937539,0.396596548,0.945824964,0.392717268,0.580218617,0.411419827,0.440210633,0.004198288,3
144,0.883808976,0.759702275,0.339979098,0.114337288,0.91313957,0.666631144,0.224930953,0.202330085,0.391371624,0.38443885,2
145,0.218539643,0.716309642,0.516377664,0.393390282,0.117030508,0.647445298,0.716061343,0.617003299,0.305018936,0.037640872,0
146,0.033148278,0.504031594,0.005443653,0.388683894,0.47814453,0.432809518,0.071009226,0.878027847,0.217752062,0.15025089,1
147,0.765678526,0.424421856,0.36502602,0.587410529,0,0.267454549,0.476207568,0.329055913,0.766635962,0.756435052,0
148,0.573724607,0.182095561,0.931457326,0.492083212,0.535481999,0.492782053,0.494881083,0.233248503,0.466675628,0.934582191,2
149,0.963231311,0.565868965,0.639935451,0.599075307,0.055215681,0.89489686,0.839136505,0.542701041,0.816332321,0.920308672,0
150,0.880686462,0.293054042,0.282593574,0.530438633,0.591020674,0.043516249,0.501639305,0.294396717,0.294641155,0.316331403,2
151,0.922282002,0.250008734,0.502574467,0.193793996,0.110343963,0.654014317,0.938109334,0.143374715,0.949761823,0.953085316,0
152,0.086415284,0.062806425,0.372225567,0.623817005,0.522912202,0.022586834,0.724722879,0.185740228,0.068248343,0.101399459,1
153,0.758289918,0.324221375,0.62129725,0.671840027,0.672619428,0.860194742,0.005746834,0.467322968,0.598200652,0.773806643,2
154,0.523545523,0.033669759,0.512645592,0.365813217,0.290509103,0.606975476,0.429750197,0.719673917,0.578458517,0.683064576,0
155,0.761436995,0.489856602,0.086270719,0.16161982,0.076722324,0.061208711,0.098665442,0.773824605,0.165228957,0.424959984,1
156,0.086022348,0.127854825,0.057480948,0.148389381,0.603253539,0.541040983,0.047568104,0.877348405,0.403132732,0.286801113,1
157,0.780624031,0.023070411,0.807531047,0.277442033,0.80411729,0.804916843,0.501389802,0.691279268,0.064674501,0.682611031,2
158,0.784204815,0.210904289,0.153558359,0.800748248,0.421936888,0.259682375,0.642811701,0.047949772,0.294541051,0.451936533,2
159,0.190268408,0.966285045,0.600631799,0.222241128,0.553291351,0.377590646,0.153225206,0.750988951,0.859255618,0.116540812,3
160,0.309036392,0.900464492,0.446864657,0.774265281,0,0.073579919,0.340090242,0.053768086,0.611160705,0.154947169,0
161,0.050943055,0.582524441,0.184580853,0.480209926,0.953714481,0.695485379,0.6894548,0.958568568,0.968418441,0.751157358,3
162,0.721983012,0.230832086,0.535484099,0.974321025,0.43623001,0.615507214,0.637244175,0.001180612,0.630393013,0.647273255,0
163,0.704217943,0.485124671,0.665108485,0.22182422,0.906973305,0.941599645,0.727585962,0.693467522,0.159997557,0.710394876,2
164,0.204377285,0.121488686,0.681401374,0.601288833,0.761599036,0.763416889,0.601523302,0.106156919,0.239743999,0.774050915,2
165,0.288320323,0,0.335486338,0.404269174,0.071209019,0.536588057,0.538751138,0.133624002,0.160276233,0,1
166,0,0.305213555,0,0.67525493,0,0.118678262,0,0.073594247,0.430256752,0.212463003,1
167,0.195663804,0.753744114,0.396710274,0.674455334,0.818581625,0.626238789,0.694585821,0.5285579,0.804821898,0.106761521,3
168,0.339573666,0.911306509,0.93881864,0.506035639,0.791072019,0.340656534,0.966202125,0.540251996,0.398925598,0.396800543,3
169,0.501071993,0.761400727,0.486535293,0.956038766,0.699380982,0.692111467,0.463990439,0.577553783,0.818161067,0.419914605,3
170,0.531189629,0.694748717,0.822204446,0.829147904,0.208332852,0.906799852,0.097535744,0.009752173,0,0.043106946,2
171,0.570790998,0.66264929,0.020407296,0,0.55407624,0.322004758,0.911651471,0.760377967,0.922312174,0,3
172,0.763274272,0.604264391,0.173216625,0.287773272,0.216915043,0.792168711,0.514159314,0.279028162,0,0.571929339,2
173,0.551713884,0.012073484,0.016745189,0.546234109,0.146565258,0.516169278,0.129906761,0.570526664,0.176154436,0.640561041,1
174,0.467774907,0.14425565,0.807827567,0.112246885,0.390583674,0.259760357,0.315409678,0.148551248,0,0,1
175,0.036920689,0.709344971,0.157665827,0.561304895,0.773236065,0.112684754,0.118796259,0.577135968,0,0.644572949,2
176,0.157852811,0.778231337,0.78568548,0.420207831,0.131875571,0.073964408,0.626032795,0.769177604,0.499349734,0.567764978,0
177,0.452326064,0.79831952,0.631277773,0.892419941,0.816337472,0,0.766715757,0.253459535,0.894067036,0.206220603,3
178,0.591935341,0.742058964,0.644566435,0.619346724,0.155020756,0.672574468,0.073003387,0.557743162,0.185177411,0,2
179,0.405158345,0.34086508,0.591151497,0.669906315,0,0.629711386,0.504088461,0.433241045,0.593833854,0.40197583,0
180,0.832980759,0.213533548,0.606633599,0.242480479,0.465862631,0,0.55655259,0.81256134,0.290489599,0.217805609,2
181,0.431996794,0.235745002,0.718156587,0.421035971,0.486900109,0.429743252,0.885247277,0.285606379,0.347539997,0.887601078,0
182,0.669095947,0.702150443,0.52743776,0.447758349,0.079601466,0.714268498,0.038234,0.374699589,0.588724304,0.918377897,0
183,0.625982086,0,0.262914765,0.11106215,0.578570312,0.430866049,0.083696597,0.659295058,0.08676721,0.801474268,2
184,0.351270776,0.065842239,0.146766251,0.30666962,0.566215896,0.674562465,0.66897604,0.155130793,0.368274654,0.560734548,2
185,0.288034484,0.21004284,0.120684304,0.608503018,0.176238499,0.87353771,0.87723268,0.697701872,0.421807417,0.039434044,0
186,0.514032029,0.711267889,0.121983765,0.766500063,0.405484161,0.506657764,0.44734252,0.089025747,0.536775827,0.074773117,2
187,0.540153372,0.664450866,0.400008023,0.240034974,0.677585315,0.148666364,0.509972876,0.415079321,0.174843613,0.823756881,2
188,0.751417518,0.837416553,0.817458141,0.850378251,0.081527937,0.559756226,0.143267994,0.59268485,0.434142106,0.357404129,0
189,0.295145269,0.331972027,0.211307069,0.734236181,0.550279215,0.025746581,0.351653474,0.02179831,0.52746362,0.121446587,1
190,0.135571996,0.200437503,0.967822384,0.53862941,0.437698255,0.329225197,0.446355369,0.391612048,0.52156066,0.376662201,3
191,0.192522826,0.160320103,0.256446535,0.466695233,0.675473558,0.19360186,0.952226614,0.807156318,0.722756444,0.603532572,3
192,0.758215023,0.724260865,0.86861561,0.764340763,0,0.2382816,0.51882642,0.556025871,0.971671029,0.706562659,0
193,0.268153715,0.026939478,0.669284549,0.564835285,0.854614996,0,0.887438068,0.624043695,0.424540942,0.427463355,3
194,0.839362052,0.591160288,0.31993537,0.487151934,0.639177592,0.327461393,0.464247905,0.548699808,0.612616551,0.584097441,3
195,0.674531557,0.092451502,0.442724295,0.35983104,0.512124627,0.788558191,0.579318405,0.675904317,0.794625356,0.921224876,0
196,0.374872524,0.703863862,0.272086624,0.878443735,0.681409183,0.694937434,0.02071687,0.435914214,0.424831952,0.75796594,2
197,0.857080562,0.20134222,0.104019945,0.47903853,0.19807173,0.840474988,0.872550753,0.652230695,0.930211176,0,0
198,0.171418909,0.218832985,0.555995012,0.590600949,0.75001595,0.052283474,0.238288357,0,0.486241829,0.178661546,1
199,0.919466759,0.608323487,0.626103408,0.916885908,0.15148359,0.568768627,0.041020927,0.928336898,0.159048444,0.871052638,2
200,0.238813362,0.796108554,0.783390341,0.406475825,0.078475209,0.887640077,0.249115241,0.965879236,0.88492112,0.297604531,0
201,0.71743681,0.320774114,0.641837152,0.523558983,0.907022805,0.960436983,0.048235117,0.089281286,0.475505758,0.504320906,2
202,0.603869152,0.297013858,0.400993509,0.109329424,0.615864148,0.902584979,0.240378813,0.821804405,0.636231813,0.966398574,3
203,0.635839169,0.377751116,0.955937787,0.244413715,0.114898621,0.597766727,0.796842413,0.699911467,0,0.433271446,0
204,0.250836425,0.960205316,0.314390549,0.368013729,0.305050524,0.528137261,0.379412262,0.750833414,0.711978868,0.54364058,0
205,0,0.743731815,0.611107205,0.910687769,0.694417956,0.860548286,0.003628588,0.658282921,0.786183588,0.856436299,3
206,0.436336192,0.654790031,0,0.173496176,0.856567215,0.853217339,0.550471007,0.136900227,0.8729421,0.825746695,3
207,0.04994672,0.395601241,0.282063875,0,0.111268095,0.217322074,0.421507352,0.352683766,0.265040137,0.603347525,1
208,0.141385156,0.864077851,0.702345663,0.321609496,0.577762619,0,0.707642029,0.085769685,0.507684015,0.324978155,3
209,0.257674451,0.423212846,0.37695151,0.497961081,0.478718825,0.74552206,0.183468426,0.748431332,0.945777,0.687966738,3
210,0.330338404,0.464656414,0.092514224,0.377357188,0,0.486900322,0.491830094,0.867843211,0.573094585,0.710159152,0
211,0.505961891,0.831824926,0.632006817,0.382366754,0.054601172,0.067993676,0.516829386,0.043522965,0.771419633,0.658477615,0
212,0.921725225,0.407175083,0.641457153,0.786312156,0.13016193,0,0.123831794,0.608620247,0.295238796,0.266967219,2
213,0.801621607,0.001324301,0.672353301,0.425168691,0,0.551117752,0.471405485,0.435995428,0.274260682,0.116168436,0
214,0.41347061,0.119897967,0.557759415,0.038803093,0,0.032403001,0,0,0.710343188,0,1
215,0.660334913,0.192004512,0.543254876,0.483116221,0.105735959,0,0.596191252,0.632745663,0.13812398,0.292851289,1
216,0.609537932,0.381536855,0.729701207,0,0.304118616,0.486917841,0.475450464,0.434710388,0.239937572,0.633515319,0
217,0.10825558,0.841804373,0.201209453,0.480425684,0.097765386,0.750447984,0.003751628,0.01327318,0.654113302,0,1
218,0.183507492,0.503218796,0.621734663,0.168530758,0.684421465,0.051808873,0.795870673,0,0.776543706,0.727982247,3
219,0.210580301,0,0,0,0.652989091,0,0,0.282633193,0.694317092,0.344687809,1
220,0,0.561065551,0.754499385,0.549909991,0,0.312337794,0.145559986,0.584419281,0.41307161,0.308903351,0
221,0.51973401,0.058708971,0.308712366,0,0.906474414,0.074092646,0.074649187,0.035730375,0.16362416,0.222761372,1
222,0.321429709,0.186413266,0.607241655,0.782433679,0,0,0.354776236,0.674919379,0,0,1
223,0.213135775,0.509320434,0.369657107,0.222402611,0.08403782,0.400695329,0.559229067,0.734954359,0.000548366,0.30706795,1
