,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,À˘ Ù¿‡±
10,0.197,0.804,0,0.877,0.411,0.459,0.346,0.39,0.421,0.112,0.748,0.903,0.749,0.618,0.869,0.297,0.714,0.386,0.363,0.55,4.76E-13,0.000333117,3.58E-12,2.27E-12,6.79E-06,3.68E-12,8.06E-05,1.06E-11,2.20E-12,4.52E-09,9.78E-12,8.64E-14,5.23E-12,2.47E-12,2.33E-10,1.44E-11,7.37E-10,1.58E-13,0,0,0
11,0.968,0.645,0.305,0.112,0.0873,0.77,0.538,0.729,0.868,0.664,0.858,0.675,0.962,0.829,0.451,0.144,0.567,0.387,0.581,0.249,3.00E-14,6.07E-08,1.56E-13,1.10E-13,5.60E-07,1.55E-13,1.25E-07,5.49E-13,5.55E-15,9.51E-10,1.07E-13,6.32E-16,1.61E-12,9.85E-14,5.28E-13,2.65E-14,1.95E-11,9.16E-16,5.16E-14,0,1
12,0.232,0.369,0.169,0.52,0.448,0.127,0.672,0.896,0.278,0.00769,0.281,0.767,0.353,0.192,0.0471,0.571,0.205,0.84,0.863,0.775,3.27E-14,3.21E-07,4.58E-13,3.16E-13,0.000200841,4.59E-13,3.97E-07,2.65E-12,1.59E-14,1.09E-08,4.08E-13,2.75E-15,2.01E-12,2.76E-13,7.67E-12,4.37E-13,7.28E-11,4.95E-15,6.83E-14,0,0
13,0.289,0.469,0.0703,0.781,0.373,0.398,0.331,0.906,0.847,0.0919,0.489,0.842,0.662,0.553,0.585,0.697,0.569,0.471,0.616,0.602,7.26E-14,6.90E-07,4.13E-13,3.10E-13,8.99E-06,5.52E-13,3.13E-07,4.13E-12,2.13E-12,1.47E-09,1.09E-11,1.52E-14,9.42E-13,2.59E-13,1.19E-09,7.49E-11,8.94E-11,1.16E-15,1.53E-13,0,0
14,0.601,0.292,0.866,0.876,0.848,0.595,0.225,0.726,0.585,0.296,0.28,0.85,0.947,0.804,0.0949,0.591,0.468,0.357,0.557,0.663,5.98E-12,3.69E-06,5.05E-12,3.95E-12,0.000185944,8.02E-12,1.49E-06,2.48E-12,6.03E-13,1.33E-08,2.32E-10,1.66E-13,6.77E-12,3.03E-12,2.61E-08,1.63E-09,7.58E-10,0,9.71E-13,4.46E-11,2
15,0.266,0.341,0.873,0.712,0.662,0.689,0.533,0.701,0.348,0.349,0.153,0.65,0.916,0.527,0.577,0.734,0.915,0.894,0.101,0.52,8.30E-14,3.24E-09,6.20E-14,1.21E-14,6.94E-08,8.21E-15,5.54E-09,9.07E-13,1.87E-15,3.75E-11,1.84E-14,1.80E-16,2.64E-14,7.17E-15,1.25E-12,1.73E-13,1.92E-12,0,5.43E-12,0,3
16,0.336,0.614,0.179,0.429,0.0204,0.00907,0.455,0.978,0.972,0.77,0.31,0.344,0.355,0.479,0.936,0.00908,0.151,0.243,0.517,0.497,1.62E-12,4.63E-08,3.51E-13,1.71E-13,5.61E-06,3.01E-13,8.72E-08,5.89E-13,5.22E-14,8.90E-10,6.97E-12,9.54E-15,5.09E-13,1.50E-13,7.58E-10,5.12E-09,1.68E-11,0,1.46E-13,9.40E-12,3
17,0.405,0.961,0.872,0.0263,0.595,0.842,0.324,0.94,0.581,0.692,0.248,0.194,0.39,0.582,0.26,0.12,0.749,0.107,0.0899,0.969,2.02E-14,2.26E-08,2.83E-11,4.79E-14,3.16E-07,6.92E-14,4.75E-08,6.03E-13,4.00E-14,3.36E-10,5.24E-13,7.39E-16,2.15E-13,1.33E-13,1.89E-11,1.93E-12,9.74E-12,4.22E-17,5.58E-14,1.82E-14,3
18,0.176,0.584,0.0745,0.688,0.702,0.69,0.207,0.466,0.74,0.491,0.00683,0.714,0.464,0.0968,0.378,0.747,3.46E-05,0.289,0.91,0.27,3.17E-16,1.11E-10,3.05E-14,1.67E-14,4.28E-10,1.22E-16,2.94E-10,3.70E-15,2.23E-16,4.04E-13,8.45E-12,7.93E-16,9.55E-16,9.21E-16,3.81E-14,1.23E-14,3.42E-14,0,4.71E-14,9.07E-16,3
19,0.478,0.832,0.427,0.472,0.0579,0.54,0.896,0.671,0.837,0.389,0.493,0.537,0.943,0.606,0.722,0.585,0.386,0.465,0.589,0.446,6.81E-14,2.11E-08,8.66E-14,3.77E-12,1.43E-08,2.14E-15,5.52E-08,6.69E-13,4.04E-14,7.90E-12,1.90E-09,1.78E-13,1.64E-13,1.75E-13,3.48E-12,2.12E-13,5.32E-12,1.50E-15,1.02E-11,2.03E-13,2
20,0.473,0.464,0.61,0.12,0.669,0.168,0.739,0.609,0.728,0.0256,0.655,0.531,0.212,0.288,0.317,0.123,0.888,0.24,0.0255,0.0421,5.19E-14,9.44E-11,1.20E-15,1.19E-13,5.24E-08,1.86E-15,2.02E-10,1.58E-14,4.39E-16,4.86E-12,1.20E-11,2.30E-14,5.49E-15,1.66E-15,7.55E-12,1.97E-10,6.26E-14,0,7.16E-15,8.13E-15,0
21,0.388,0.535,0.967,0.568,0.396,0.433,0.68,0.186,0.0988,0.96,0.273,0.0763,0.29,0.512,0.293,0.687,0.143,0.843,0.677,0.922,2.54E-14,2.33E-12,7.84E-17,6.46E-14,1.52E-09,2.34E-14,3.64E-12,3.91E-14,3.65E-13,1.06E-13,9.42E-13,2.69E-15,2.08E-16,1.09E-16,8.24E-13,3.90E-14,1.86E-13,0,9.47E-16,1.12E-15,3
22,0.654,0.464,0.0893,0.609,0.486,0.89,0.475,0.35,0.218,0.388,0.0905,0.37,0.854,0.224,0.222,0.933,0.525,0.0048,0.0433,0,2.62E-15,7.73E-12,3.81E-15,2.72E-13,2.18E-09,1.51E-16,1.89E-11,5.11E-14,3.60E-16,1.26E-13,1.55E-10,4.30E-16,9.81E-17,1.37E-14,4.63E-13,2.80E-14,2.25E-14,0,0,5.05E-15,2
23,0.000187,0.335,0.33,0.253,0.318,0.624,0.133,0.267,0.205,0.901,0.752,0.622,0.529,0.134,0.918,0.619,0.744,0.098,0.0644,0.457,4.60E-11,2.56E-09,2.56E-13,1.94E-09,2.07E-08,2.07E-13,4.50E-09,7.48E-13,2.75E-12,1.03E-11,6.93E-10,8.87E-13,4.44E-14,7.90E-14,3.47E-09,1.63E-10,3.87E-11,0,1.60E-13,3.80E-11,3
24,0.433,0.631,0.191,0.973,0.689,0.116,3.93E-05,0.344,0.144,0.0162,0.633,0.777,0.378,0.181,0.0765,0.754,0.5,0.656,0.55,0.329,2.76E-13,2.87E-11,1.01E-14,5.89E-12,1.57E-08,8.17E-15,3.22E-11,1.15E-14,2.25E-13,1.23E-12,1.00E-11,6.74E-13,9.97E-16,1.33E-15,7.54E-11,4.39E-12,9.79E-13,0,7.69E-15,1.15E-14,0
25,0.13,0.169,0.443,0.279,0.488,0.256,0.283,0.17,0.0943,0.956,0.466,0.778,0.00414,0.13,0.212,0.839,0.974,0.428,0.725,0.255,1.86E-15,1.35E-12,2.52E-11,6.86E-14,3.14E-11,1.50E-16,2.76E-12,4.46E-16,2.49E-16,2.00E-14,1.10E-12,5.54E-17,1.76E-17,1.09E-12,1.21E-12,7.13E-14,8.08E-15,0,1.63E-16,9.88E-16,3
26,0.173,0.784,0.728,0.785,0.952,0.508,0.175,0.527,0.0821,0.849,0.617,0.792,0.733,0.0661,0.379,0.137,0.47,0.724,0.86,0.000141,1.67E-15,2.73E-13,6.77E-17,7.57E-14,5.24E-11,3.14E-16,2.56E-13,1.63E-16,2.59E-16,4.00E-15,1.36E-13,5.98E-17,7.23E-18,1.54E-17,1.34E-11,6.09E-13,4.74E-15,0,5.95E-16,4.20E-17,3
27,0.656,0.3,0.605,0.615,0.564,0.778,0.583,0.428,0.301,0.359,0.0898,0.404,0.312,0.0505,0.541,0.195,0.274,0.241,0.885,0.769,1.43E-14,1.37E-11,1.33E-14,3.93E-13,2.58E-08,1.50E-13,1.23E-11,1.31E-14,2.63E-14,1.48E-12,1.54E-11,5.63E-13,2.11E-16,1.16E-14,1.26E-09,1.10E-10,1.37E-13,0,8.25E-14,1.24E-14,2
28,0.249,0.856,0.186,0.396,0.853,0.0794,0.927,0.707,0.167,0.966,0.334,0.49,0.0761,0.211,0.447,0.227,0.356,0.0532,0.569,0.962,1.59E-10,1.05E-06,7.16E-10,8.63E-13,2.14E-09,1.07E-12,8.82E-07,5.12E-07,2.06E-11,1.75E-07,3.33E-09,3.07E-12,1.07E-12,8.15E-10,6.89E-08,3.02E-07,5.37E-11,0,1.23E-08,0,3
29,0.804,0.243,0.694,0.0727,0.615,0.16,0.409,0.517,0.829,0.259,0.123,0.0843,0.496,0.348,0.557,0.573,0.946,0.0931,0.926,0.217,2.31E-11,8.30E-08,9.93E-11,1.71E-10,0.000203563,1.18E-09,7.28E-08,8.55E-11,1.45E-10,1.12E-08,8.37E-08,3.42E-11,6.77E-13,8.60E-12,9.89E-06,6.15E-07,2.98E-10,0,4.23E-10,3.69E-12,2
30,0.945,0.806,0.72,0.603,0.106,0.501,0.178,0.973,0.411,0.0904,0.529,0.323,0.954,0.829,0.62,0.324,0.116,0.0766,0.389,0.539,3.95E-16,4.53E-13,1.61E-15,7.26E-16,9.06E-11,4.95E-16,1.08E-12,2.77E-15,2.76E-15,5.81E-15,6.15E-12,3.08E-16,6.70E-18,8.63E-15,4.11E-12,1.24E-11,1.05E-15,0,3.26E-15,2.34E-16,2
31,4.05E-05,0.638,0.334,0.338,0.192,0.0991,0.0481,0.179,0.418,0.272,0.154,0.664,0.563,0.784,0.684,0.514,0.188,0.415,0.358,0.69,9.59E-16,1.34E-14,1.61E-15,9.86E-17,1.88E-12,4.77E-17,7.87E-15,3.30E-16,7.40E-16,2.16E-15,1.53E-14,1.76E-16,1.83E-17,2.87E-13,3.18E-13,2.80E-14,1.61E-14,0,6.93E-15,2.83E-15,3
32,0.196,0.167,0.805,0.894,0.639,0.6,0.599,0.0718,0.976,0.496,0.655,0.726,0.517,0.192,0.966,0.485,0.0475,0.551,0.231,0.464,3.26E-12,5.42E-12,1.54E-14,3.79E-14,2.08E-10,8.98E-15,3.42E-12,3.91E-13,2.55E-13,9.61E-13,5.76E-12,6.33E-14,6.99E-15,5.46E-14,4.65E-11,1.62E-11,5.96E-12,0,1.01E-11,0,0
33,0.61,0.247,0.914,0.267,0.465,0.72,0.819,0.197,0.725,0.355,0.789,0.241,0.89,0.945,0.866,0.598,0.709,0.423,0.565,0.678,3.39E-14,4.79E-13,2.09E-15,1.23E-09,4.47E-12,7.07E-16,6.33E-13,7.28E-15,4.16E-15,4.32E-13,2.10E-13,8.83E-16,3.05E-16,3.45E-16,1.39E-12,2.54E-13,1.60E-12,0,1.07E-14,3.04E-16,2
34,0.529,0.595,0.584,0.553,0.195,0.41,0.93,0.279,0.14,0.75,0.383,0.0217,0.356,0.575,0.468,0.113,0.449,0.716,0.335,0.759,4.51E-15,4.33E-14,4.86E-15,1.15E-16,7.66E-13,1.52E-17,6.43E-14,1.18E-15,6.43E-16,5.98E-15,1.64E-13,1.09E-16,6.70E-16,2.27E-15,1.46E-13,3.86E-14,1.68E-14,0,4.62E-15,2.81E-15,1
35,0.429,0.125,0.505,0.897,0.914,0.37,0.209,0.773,0.553,0.0836,0.313,0.285,0.528,0.415,0.331,0.643,0.00673,0.975,0.601,0.646,2.20E-13,8.44E-12,6.06E-15,2.33E-14,5.30E-10,2.79E-15,1.20E-11,8.81E-13,4.98E-13,3.94E-12,1.85E-12,1.62E-14,3.52E-15,1.32E-13,3.82E-11,9.54E-11,3.34E-12,0,3.03E-11,2.45E-14,0
36,0.748,0.551,0.272,0.887,0.628,0.732,0.247,0.959,0.699,0.768,0.244,0.712,0.0725,0.446,0.474,0.443,0.225,0.698,0.936,0.24,1.55E-12,1.15E-09,5.76E-14,1.16E-12,3.30E-08,3.02E-14,2.89E-09,5.33E-12,2.49E-12,2.13E-11,5.82E-10,9.71E-14,6.74E-14,1.46E-13,2.54E-10,1.79E-10,5.22E-11,0,2.07E-11,1.46E-13,1
37,0.835,0.039,0.373,0.387,0.406,6.12E-05,0.233,0.000129,0.254,0.599,0.803,0.817,0.969,0.16,0.457,0.888,0.473,0.953,0.881,0.0509,3.40E-10,1.24E-11,7.07E-16,4.01E-15,1.57E-10,5.10E-13,2.33E-11,1.18E-12,2.01E-11,9.79E-12,1.45E-13,4.95E-12,3.92E-15,1.11E-13,1.67E-12,1.56E-12,3.11E-11,0,1.95E-13,2.59E-14,1
38,0.0324,0.799,0.498,0.505,0.0624,0.808,0.0735,0.117,0.0718,0.227,0.719,0.819,0.481,0.206,0.69,0.112,0.973,0.00456,0.822,0.0827,5.23E-15,7.86E-14,1.73E-17,6.57E-17,2.59E-12,8.46E-18,9.61E-14,1.05E-14,3.27E-15,1.77E-14,3.55E-15,6.94E-17,6.29E-18,2.26E-17,1.47E-13,1.03E-14,4.83E-15,0,2.78E-15,7.01E-17,3
39,0.479,0.381,0.877,0.347,0.382,0.506,0.851,0.708,0.31,0.758,0.132,0.68,0.191,0.144,0.247,0.557,0.467,0.102,0.484,0.0517,1.66E-15,5.37E-12,2.21E-16,1.66E-16,6.20E-11,1.61E-17,6.71E-12,3.87E-12,8.36E-14,1.78E-12,8.42E-15,9.26E-15,3.79E-17,3.61E-16,4.41E-13,1.27E-12,3.13E-15,0,1.10E-13,2.59E-15,2
40,0.513,0.542,0.196,0.237,0.612,0.519,0.756,0.238,0.635,0.369,0.926,0.127,0.67,0.698,0.673,0.533,0.18,0.00722,0.0157,0.374,2.82E-09,1.40E-13,1.10E-16,8.76E-17,7.46E-13,1.55E-13,1.37E-13,2.07E-11,5.22E-10,4.36E-14,3.93E-15,2.17E-13,1.06E-16,1.31E-14,9.90E-14,1.93E-13,3.98E-15,0,2.34E-12,2.22E-18,0
41,0.49,0.353,0.353,0.631,0.621,0.591,0.246,0.789,0.359,0.293,0.653,0.234,0.355,0.304,0.0809,0.153,0.325,0.846,0.0386,0.175,4.14E-13,3.08E-09,6.51E-14,4.05E-15,1.02E-10,2.41E-15,2.56E-09,1.14E-09,1.61E-11,3.88E-10,2.52E-13,1.77E-12,0,7.86E-14,2.82E-10,8.89E-11,1.58E-13,0,1.37E-09,0,1
42,0.855,0.544,0.438,0.149,0.677,0.756,0.57,0.72,0.214,0.878,0.00021,0.0567,0.623,0.277,0.0801,0.161,0.0364,0.407,0.332,0.631,3.94E-12,2.50E-11,1.25E-14,6.22E-16,4.19E-12,7.02E-15,2.08E-11,1.67E-11,3.32E-10,5.71E-12,4.48E-11,8.17E-14,0,5.68E-12,2.41E-12,9.59E-13,3.96E-15,0,7.58E-12,0,2
43,0.253,0.858,4.33E-05,0.661,0.541,0.404,0.236,0.376,0.203,0.732,0.21,0.054,0.538,0.467,0.513,0.453,0.431,0.0612,0.125,0.611,4.59E-13,1.06E-10,3.29E-15,6.78E-15,5.90E-12,1.76E-15,8.81E-11,3.59E-11,1.06E-12,1.23E-11,2.41E-14,1.31E-13,0,6.28E-15,1.11E-11,1.22E-12,4.15E-15,0,6.42E-11,0,3
44,0.484,0.181,0.128,0.163,0.758,0.63,0.313,0.362,0.559,0.0161,0.116,0.897,0.315,0.222,0.33,0.169,0.218,0.332,0.734,0.186,9.27E-14,2.76E-10,3.78E-13,1.36E-12,1.18E-10,8.23E-16,2.38E-10,2.77E-10,9.91E-13,9.51E-11,2.08E-14,4.93E-14,2.66E-17,3.88E-13,1.75E-10,6.50E-12,1.32E-13,0,4.14E-11,0,2
45,0.0691,0.659,0.509,0.123,0.808,0.796,0.544,0.528,0.707,0.966,0.0283,0.852,0.904,0.544,0.326,0.949,0.871,0.928,0.276,0,4.49E-14,1.79E-10,1.19E-14,6.77E-13,2.34E-10,3.92E-16,1.55E-10,1.46E-10,1.85E-12,5.15E-11,2.72E-14,7.59E-14,0,1.48E-13,3.68E-11,7.21E-12,6.84E-14,0,3.84E-11,0,3
46,0.528,0.624,0.126,0.619,0.251,0.313,0.876,0.708,0.497,0.339,0.393,0.506,0.0998,0.649,0.456,0.0182,0.477,0.178,0.0273,0.44,1.21E-13,6.91E-10,1.66E-13,1.38E-10,8.69E-12,9.58E-16,7.23E-10,3.91E-10,9.53E-14,1.33E-10,8.28E-14,5.80E-15,1.41E-15,3.07E-12,1.51E-10,4.48E-12,1.54E-12,0,1.83E-11,0,1
47,0.72,0.236,0.0383,0.862,0.906,0.208,0.924,0.569,0.239,0.728,0.902,0.335,0.249,0.132,0.111,0.428,0.349,0.0201,0.938,0.521,3.20E-16,3.42E-14,1.11E-13,1.24E-15,1.71E-14,1.66E-14,3.37E-14,3.02E-14,3.50E-16,1.03E-14,5.94E-16,6.95E-17,1.04E-19,8.82E-16,7.92E-15,8.64E-16,3.17E-17,0,3.78E-15,5.88E-18,0
48,0.0897,0.824,0.651,0.557,0.0382,0.753,0.538,0.314,0.423,0.266,0.212,0.27,0.272,0.886,0.177,0.486,0.646,0.107,0.892,0.0571,1.19E-10,9.29E-08,1.29E-11,1.44E-09,3.00E-11,1.76E-13,7.96E-08,7.96E-08,9.67E-12,2.71E-08,1.22E-11,9.98E-14,1.88E-13,1.05E-08,2.01E-08,1.50E-09,2.35E-11,0,2.26E-09,0,2
49,0.477,0.0431,0.213,0.717,0.506,0.834,0.251,0.619,0.769,0,0.9,0.34,0.879,0.212,0.216,0.753,0.0617,0.839,0.512,0.111,8.84E-12,2.97E-08,2.37E-12,1.36E-10,2.98E-11,5.22E-14,2.72E-08,1.73E-08,1.01E-12,5.90E-09,1.16E-12,8.37E-16,1.51E-14,5.62E-10,5.07E-08,2.22E-10,6.81E-12,0,4.21E-09,0,0
50,0.331,0.251,0.111,0.906,0.122,0.0101,0.302,0.205,0.78,0,0.0674,0.621,0.376,0.715,0.697,0.37,0.939,0.488,0.132,0.159,1.70E-11,7.88E-07,1.49E-10,9.69E-11,1.16E-05,1.48E-10,1.90E-07,4.24E-10,4.40E-12,5.35E-09,8.65E-11,3.78E-14,3.59E-12,1.11E-10,1.02E-10,6.81E-13,4.68E-11,0,5.77E-13,9.65E-13,2
51,0,0.339,0.19,0.528,0.296,0.851,0.227,0.929,0.192,0.439,0,0.552,0.157,0.893,0.774,0.932,0.143,0.204,0.582,0.882,8.29E-10,0.000255447,7.31E-09,4.76E-09,0.000765484,7.27E-09,5.18E-05,2.08E-08,1.82E-10,3.50E-07,4.24E-09,1.53E-12,1.78E-10,4.26E-09,5.37E-09,3.68E-11,2.09E-09,0,7.31E-12,4.18E-12,3
52,0.268,0,0.457,0.29,0.284,0.411,0.774,0.961,0.598,0.743,0.646,0.3,0.466,0.331,0.371,0.84,0.894,0.765,0.775,0.395,1.28E-09,0.000195664,1.13E-08,7.34E-09,0.004235964,1.12E-08,5.37E-05,3.25E-08,2.92E-10,1.92E-06,6.55E-09,2.57E-12,3.19E-10,6.57E-09,9.55E-09,1.52E-10,6.17E-09,4.08E-14,1.84E-11,0,1
53,0.869,0.564,0.958,0.233,0.506,0.00715,0.838,0.522,0.398,0.328,0.507,0.505,0.206,0.00898,0.0962,0.898,0.839,0.512,0.331,0.512,1.61E-09,6.35E-05,1.39E-08,9.07E-09,0.000942811,1.39E-08,1.53E-05,3.97E-08,3.60E-10,4.33E-07,8.08E-09,1.12E-11,3.35E-10,8.12E-09,9.48E-09,5.64E-11,3.16E-09,0,2.86E-10,1.00E-09,0
54,0.724,0.785,0.453,0.551,0.937,0.182,0.927,0.437,0.867,0.315,0.454,0.717,0.0931,0.0523,0.671,0.941,0.325,0.0893,0.343,0.392,2.45E-13,0.00125259,1.87E-12,1.23E-12,3.82E-07,2.00E-12,3.84E-05,4.06E-12,1.21E-12,4.61E-10,9.91E-13,1.65E-13,4.65E-12,1.52E-12,5.34E-12,0,4.53E-10,2.24E-13,0,3.50E-13,0
55,0.554,0.458,0.393,0.259,0.132,0.307,0.606,0.523,0.724,0.34,0.878,0.494,0.718,0.113,0.162,0.336,0.892,0.359,0.688,0.787,5.16E-12,0.000626801,2.51E-11,1.90E-11,5.09E-06,2.66E-11,8.60E-05,8.52E-11,1.22E-11,8.19E-09,1.62E-11,1.26E-12,1.61E-10,1.92E-11,7.20E-11,7.01E-13,1.48E-08,2.51E-12,2.24E-11,7.06E-12,1
56,0.85,0.0512,0.577,0.292,0.166,0.38,0.318,0.358,0.91,0.187,0.449,0.55,0.418,0.667,0.51,0.389,0.677,0.219,0.487,0.466,1.03E-11,0.000929275,2.97E-11,2.60E-11,8.21E-06,3.44E-11,0.000108945,1.20E-10,1.68E-11,2.02E-08,2.09E-11,4.18E-12,4.27E-10,3.22E-11,1.57E-10,6.84E-13,4.07E-08,8.85E-12,0,1.41E-10,2
57,0.289,0.867,0.554,0.6,0.24,0.838,0.665,0.318,0.176,0.837,0.824,0.534,0.291,0.686,0.131,0.888,0.552,0.39,0.163,0.493,1.66E-11,0.000409432,6.18E-11,4.88E-11,0.00016376,6.42E-11,9.35E-05,6.39E-10,1.63E-11,1.08E-07,4.60E-11,2.29E-12,7.75E-10,4.41E-11,1.63E-10,5.98E-12,1.39E-07,4.64E-12,3.86E-11,6.81E-11,1
58,0.269,0.259,0,0.731,0.233,0.462,0.951,0.0723,0.252,0,0.862,0.942,0.0679,0.274,0.244,0.459,0.824,0.139,0.862,0.558,1.69E-11,0.001190029,9.94E-11,7.09E-11,0.000268438,1.02E-10,0.00012878,3.57E-10,1.01E-11,1.72E-07,6.46E-11,2.54E-12,4.07E-10,6.70E-11,2.48E-10,8.79E-12,5.26E-08,5.28E-12,0,1.62E-11,0
59,0.392,0.942,0.316,0.0367,0.585,0.822,0.135,0.826,0.286,0.559,0.936,0.724,0,0.21,0.205,0.297,0.852,0.526,0.782,0.592,3.05E-14,2.93E-06,2.23E-13,1.52E-13,5.31E-07,2.29E-13,2.29E-07,7.30E-13,2.14E-14,2.93E-10,1.37E-13,5.99E-15,4.34E-13,1.52E-13,6.63E-13,2.71E-14,4.56E-11,1.27E-14,0,7.26E-15,1
60,0.132,0.767,0.661,0.515,0.888,0.648,0.616,0.308,0.306,0.803,0.834,0.094,0.229,0.234,0.317,0.95,0.551,0.774,0.377,0.225,1.30E-11,0.000107093,6.35E-11,4.64E-11,0.000231003,6.58E-11,6.34E-05,3.51E-10,7.70E-12,2.54E-07,4.72E-11,2.19E-12,3.58E-10,4.48E-11,4.33E-10,2.32E-11,4.50E-08,4.57E-12,1.68E-11,1.42E-11,0
61,0.642,0.189,0.562,0.398,0.795,0.165,0.726,0.598,0.286,0.577,0.187,0.492,0.939,0.558,0.734,0.512,0.259,0.176,0.616,0.202,6.20E-12,8.58E-06,4.99E-11,3.30E-11,0.000141523,4.99E-11,5.58E-06,1.63E-10,1.98E-12,1.25E-07,3.08E-11,2.43E-13,3.93E-11,2.99E-11,1.37E-10,5.90E-12,3.93E-09,4.94E-13,3.48E-13,0,2
62,0.767,0.66,0.227,0.738,0.219,0.865,0.68,0.174,0.5,0.95,0.311,0.515,0.15,0.0843,0.203,0.852,0.835,0.355,0.944,0.241,1.52E-11,1.51E-05,1.15E-10,7.64E-11,0.000334463,1.15E-10,1.92E-05,3.84E-10,3.41E-12,1.98E-07,7.06E-11,2.65E-13,1.12E-10,6.81E-11,2.59E-10,1.13E-11,2.03E-08,4.49E-13,8.34E-12,0,2
